location,geconMN,pdensMN,tt50kMN
Nimba,0.17749642632,40.44316302230,330.27947161700
RiverCess,0.12200045581,14.05467372270,303.34707682400
RiverGee,0.18445073367,13.23481110680,474.24062628800
Sinoe,0.18889408478,11.05983443730,715.07061068700
Bomi,0.18482180585,58.63640056130,78.78847703460
Bong,0.18329464319,39.70479380270,215.62739143600
Gbarpolu,0.23851997376,9.78001107760,325.43689854300
GrandCapeMount,0.29335555620,27.67997296120,175.57177828300
GrandBassa,0.10766911000,29.76936456440,163.03628298500
GrandGedeh,0.27671808084,12.37655861130,686.39215848800
GrandKru,0.15924472658,17.54289401860,374.29297597000
Lofa,0.24352285768,28.11582882880,298.19443756700
Margibi,0.09727656015,123.05515947000,121.78775015200
Maryland,0.11575741277,60.80219537010,296.32749221200
Montserrado,0.09882983646,581.00341118700,71.49882684190
Boffa,0.18819444846,37.96029552120,173.39153009900
Boke,0.19077817227,43.42777149940,250.56011161900
Fria,0.19397638256,72.77684566210,135.85744680900
Gaoual,0.12457186686,15.21275564270,326.45293366400
Koundara,0.14791618370,20.60392327390,332.87178668400
Conakry,0.34370767301,3817.49997637000,60.28947368420
Dabola,0.16150632181,29.81277189920,275.33129820100
Dinguiraye,0.05679623753,15.43687174190,282.54742606800
Faranah,0.16151280595,14.47571295600,247.98270666800
Kissidougou,0.15250486646,43.73051996640,152.86633056300
Kankan,0.12935393754,21.47807452500,245.39963033200
Kerouane,0.13286315866,27.46669445130,222.94292134800
Kouroussa,0.12069326579,12.39715096550,225.66092229100
Mandiana,0.10765495389,21.70124869750,195.12169811300
Siguiri,0.07202649434,24.17096148860,173.11530259200
Coyah,0.35560401906,89.11361233880,163.16459830200
Dubreka,0.27471909891,72.34002191900,157.69862710400
Forecariah,0.45279931078,94.72445306240,218.34886977400
Kindia,0.44979941181,53.04265920150,188.04729082900
Telimele,0.20080678755,33.91898916620,162.23584380900
Koubia,0.05350358154,31.16610101520,257.83132814300
Labe,0.13536883582,148.41980502800,103.29355226300
Lelouma,0.12098829417,52.48165963370,211.01808706300
Mali,0.07233752935,24.65941349480,390.44560104100
Tougue,0.06874777999,25.21185120860,217.10387618500
Dalaba,0.30960165235,57.94295826320,191.56666666700
Mamou,0.31956806559,36.21963538120,236.81696979700
Pita,0.34248252927,58.25552374350,169.79381635300
Beyla,0.11158845896,17.35962799130,317.06481105200
Gueckedou,0.16453333296,169.53115763500,165.98061550800
Lola,0.20621530710,47.49082865530,200.89540382100
Macenta,0.22361342133,61.21412322610,144.00283553900
Nzerekore,0.25743578158,91.31680103970,156.72605883600
Yamou,0.28529120424,92.68330754230,254.82447368400
Kailahun,0.21147933792,98.61185851560,184.35574572100
Kenema,0.25579577638,90.26001696290,160.90345860600
Kono,0.15492397273,59.43544354440,166.15240935500
Bombali,0.33116852028,53.49341013920,202.11028882700
Kambia,0.49013502136,99.62507096890,184.48450781500
Koinadugu,0.22932281545,24.01177692160,249.01319817700
PortLoko,0.45549768150,97.01544281920,139.12285673800
Tonkolili,0.19243764539,60.48196743460,159.25953488400
Bo,0.28695284535,98.34096104910,111.18025816200
Bonthe,0.42493725647,42.53761165410,184.50369515000
Moyamba,0.35876450166,38.14398330580,171.59853836800
Pujehun,0.37763105119,72.97472494600,164.51658664300
WesternRural,0.75164169884,737.32380581000,78.13466666670
WesternUrban,0.95083497849,7134.34164273000,9.89795918367
